Andromeda, AND,0.807666667,37.43183333
Antlia, ANT,10.27383333,-31.5165
Apus, APS,16.14416667,-74.7
Aquarius, AQR,22.28966667,-9.210833333
Aquila, AQL,19.667,3.410833333
Ara, ARA,17.37483333,-55.41166667
Aries, ARI,2.636,20.79233333
Auriga, AUR,6.073666667,42.028
Bootes, BOO,14.71066667,31.20266667
Caelum, CAE,4.7045,-36.11833333
Camelopardalis, CAM,6.856166667,69.3815
Cancer, CNC,8.649333333,19.80583333
Canes Venatici, CVN,13.116,40.10183333
Canis Major, CMA,6.829,-21.85966667
Canis Minor, CMI,7.652833333,6.427166667
Capricornus, CAP,21.04883333,-17.97683333
Carina, CAR,8.695,-62.78066667
Cassiopeia, CAS,1.319333333,62.184
Centaurus, CEN,13.07116667,-46.65466667
Cepheus, CEP,23.544,71.0085
Cetus, CET,1.668333333,-6.820666667
Chamaeleon, CHA,10.69216667,-78.795
Circinus, CIR,14.57566667,-62.96966667
Columba, COL,5.862666667,-34.9055
Coma Berenices, COM,12.78783333,23.30566667
Corona Australis, CRA,18.6465,-40.8525
Corona Borealis, CRB,15.84316667,32.62483333
Corvus, CRV,12.442,-17.56333333
Crater, CRT,11.39583333,-14.071
Crux, CRU,12.44983333,-59.8135
Cygnus, CYG,20.588,44.545
Delphinus, DEL,20.6935,11.671
Dorado, DOR,5.241833333,-58.613
Draco, DRA,15.144,62.00666667
Equuleus, EQU,21.18766667,7.758166667
Eridanus, ERI,3.300333333,-27.24383333
Fornax, FOR,2.798,-30.3655
Gemini, GEM,7.070666667,22.60016667
Grus, GRU,22.4565,-45.64816667
Hercules, HER,17.386,27.49883333
Horologium, HOR,3.276,-52.66366667
Hydra, HYA,10.61216667,-16.46816667
Hydrus, HYI,2.344166667,-68.0435
Indus, IND,21.97216667,-58.29333333
Lacerta, LAC,22.46133333,46.04183333
Leo, LEO,10.66716667,13.13866667
Leo Minor, LMI,10.24533333,32.13466667
Lepus, LEP,5.565833333,-18.95366667
Libra, LIB,15.19933333,-14.76533333
Lupus, LUP,15.22016667,-41.29116667
Lynx, LYN,7.992166667,47.46666667
Lyra, LYR,18.85283333,36.68933333
Mensa, MEN,5.415,-76.496
Microscopium, MIC,20.96466667,-35.72516667
Monoceros, MON,7.0605,0.282166667
Musca, MUS,12.588,-69.839
Norma, NOR,15.903,-50.6485
Octans, OCT,23,-81.848
Ophiuchus, OPH,17.39483333,-6.087666667
Orion, ORI,5.5765,5.949
Pavo, PAV,19.61183333,-64.2185
Pegasus, PEG,22.69733333,19.46633333
Perseus, PER,3.175,45.01316667
Phoenix, PHE,0.931833333,-47.41933333
Pictor, PIC,5.707666667,-52.52583333
Pisces, PSC,0.482833333,13.68716667
Piscis Austrinus, PSA,22.2845,-29.35783333
Puppis, PUP,7.258,-33.82266667
Pyxis, PYX,8.952666667,-26.64833333
Reticulum, RET,3.921166667,-58.0025
Sagitta, SGE,19.65083333,18.86133333
Sagittarius, SGR,19.099,-27.52316667
Scorpius, SCO,16.88733333,-26.9685
Sculptor, SCL,0.438,-31.91166667
Scutum, SCT,18.67316667,-8.111333333
Serpens, SER,16.95066667,6.122
Sextans, SEX,10.2715,-1.385333333
Taurus, TAU,4.702166667,14.87716667
Telescopium, TEL,19.32566667,-50.96316667
Triangulum, TRI,2.1845,31.476
Triangulum Australe, TRA,16.0825,-64.612
Tucana, TUC,23.77733333,-64.17
Ursa Major, UMA,11.31266667,50.72116667
Ursa Minor, UMI,15,77.69983333
Vela, VEL,9.577333333,-46.83283333
Virgo, VIR,13.4065,-3.8415
Volans, VOL,7.7955,-68.19883333
Vulpecula, VUL,20.23133333,24.44266667
